objectid,filename,creator,recipient,date,title,reference,subject,format
EB002,EB002a.jpg,Rebecca Dennis Wylie; Theophilus Adam Wylie,Louisa Wylie Boisen; Margaret Wylie Mellette,1858-09-28,"Rebecca Dennis Wylie and Theophilus Adam Wylie to Louisa Wylie Boisen and Margaret Wylie Mellette, September 28, 1858","""Pa, Mr. Alford, Brown and Toph have all gone to the Fair. Tomorrow I think I will take Lizzie and the baby.""
 [...] 
 ""You want to know how I get along without you. I really do miss you both very much especially last week but I have got on wonderfully and if we are blessed with health & I think we can get along very well so you need not worry about me. I have very little more to do than when you were here if I except the baby. Lizzy does very well and I think wants to stay.""",Commentary; praise,image/jpg
EB003,EB003a.jpg,Rebecca Dennis Wylie,Louisa Wylie Boisen,1858-10-14,"Rebecca Dennis Wylie to Louisa Wylie Boisen, October 14, 1858","Dear Lou I wonder how much can be done in four minutes Lizzie has just put the eggs in to boil for breakfast & I thought I would write until she called us You know she is so slow perhaps it will be ten before she calls us but no, now we are called so good morning. 
 […] 
 We get along very well. Baby grows finely he is as fat as a little pig and is as good as he can be. Lizzy does not seem to care very much about writing. she would rather read.",Cooking; Commentary; Critique; ,image/jpg
EB004,EB004b.jpg,Rebecca Dennis Wylie; Theophilus Adam Wylie,Louisa Wylie Boisen; Margaret Wylie Mellette,1858-12-00,"Rebecca Dennis Wylie and Theophilus Adam Wylie to Louisa Wylie Boisen and Margaret Wylie Mellette, December , 1858",My pen is so bad that I am afraid you will not be able to read but I must stop as it is ten o'clock & the baby will awake & cry he does not like Lizzy to nurse him. Your affectionate Mother,Childcare;,image/jpg
EB005,EB005c.jpg,Margaret Wylie Mellette ,Louisa Wylie Boisen,1859-02-05,"Margaret Wylie Mellette to Louisa Wylie Boisen, February 5, 1859","Lizzie makes as good bread as Ma can. 
 […] 
Lizzie is making some blackberry pies for tomorrow I wish you were at home to help eat them.",Cooking,image/jpg
EB009,EB009d.jpg,Rebecca Dennis Wylie; Louisa Wylie Boisen  ,Theophilus Adam Wylie,1862-08-13,"Rebecca Dennis Wylie and Louisa Wylie Boisen to Theophilus Adam Wylie, August 13, 1862","Oh, Liz has broken her specs again. If you can buy her a silver pair the highest number you can get she says she can see better with two pair on. She is so blind that she can scarcely see to do her work.",personal; personal possession,image/jpg
EB007,EB007b.jpg,Theophilus Adam Wylie,Louisa Wylie Boisen,1860-12-26,"Theophilus Adam Wylie to Louisa Wylie Boisen, December 26, 1860",Lizzie is going home today to spend her holidays. So Ma and I will have to get up to make the pies.,Travel; Cooking,image/jpg
EB008,EB008a.jpg,Louisa Wylie Boisen,Theophilus Adam Wylie,1861-01-01,"Louisa Wylie Boisen to Theophilus Adam Wylie, January 1, 1861",I am sorry you and Ma will have to make fires this cold weather but I expect Liz will be better for a little vacation.,Travel; Household,image/jpg
EB010,EB010b.jpg,Louisa Wylie Boisen,Theophilus Adam Wylie,1863-08-05,"Louisa Wylie Boisen to Theophilus Adam Wylie, August 5, 1863",We are all well and are truly rejoiced by the darkness of Liz's countenance. She returned yesterday morn and commenced washing right away. You know she never is tired. ,household; laundry; praise,image/jpg
EB012,EB012b.jpg,Louisa Wylie Boisen,Rebecca Dennis Wylie,1864-01-06,"Louisa Wylie Boisen to Rebecca Dennis Wylie, January 6, 1864",I can imagine that you are still up – darning stockings perhaps- Pa has come in from the study Mag & Arthur in the parlor. Liz sitting by the fire roasting & reading or knitting or patching her linsey dress – or has she new ones? Oh dear! How much I would love to be with you all. If I could just step in tonight wouldn't I upset your darning – drink Pa's cider- torment Mag & Arth – go up & kiss the children awake & give Liz's wool a pull—but it will be a long time yet. ,Presence; literacy; household,image/jpg
EB013,EB013b.jpg,"Dennis, Susan Emma; Samuel Brown Wylie ",Louisa Wylie Boisen,1872-12-21,"Susan Emma Dennis and Samuel Brown Wylie III to Louisa Wylie Boisen, December 21, 1872","See me seated on the lounge, Lizzie flying around setting the table Toph at the little table at work on a letter to you & Dory running around hunting up implements to join us in writing a Christmas greeting to our dear absent one. ",Holidays; household; cooking,image/jpg
