key,name,annotation
AnnaBallentine,Anna Thankful Ballantine (1842 – 1915),Daughter of Professor Elisha Ballantine; lifelong friend of Louisa Wylie Boisen.
AnnaDennis,Annie Dennis Carrier (abt 1857 – 1921),"Unofficially ""adopted"" by Emma Dennis, Anna's birth name was Dolan. She lived with Emma and Elizabeth Dennis in Bloomington, IN and attended IU from 1875 – 1878. "
AnnieCornell,Annie Matilda Speck Cornell (1849 – 1928),"Niece of Rebecca Dennis Wylie, through her sister Adelaide Dennis Speck."
Anton,Anton Theophilus Boisen (1876-1965),"Eldest child of Louisa Wylie and Hermann B. Boisen. Graduated from IU, Yale University Forestry School, and the Union Theological Seminary in NYC. Founder of the clinical pastoral education movement.
"
ArmsteadPercell,Armstead Percel,Older brother of Elizabeth Breckenridge
ArthurMellette,"Arthur Anton (""Anton"") Mellette  (1872-1953)",Son of Maggie and Arthur Mellette
Brown,"Samuel Brown (""Brown"") Wylie II  (1854-1890)",Son of Theophilus and Rebecca Wylie graduated from IU in 1876. Died of Bright's Disease leaving his wife and four children
CharlesMellette,"Charles Edmond (""Charley"") Mellette (1869-1964)",Son of Maggie and Arthur Mellette
Cornelia,Cornelia Dennis Trimble,Sister of Rebecca Dennis Wylie who lived in the Philadelphia area. Married Richard Trimble in 1856; widowed early; she had no children.
CousinMargaret,Margaret Wylie,Cousin
DickWylie,"Richard (""Dick"") Dennis Wylie (1841 – 1861) ","Eldest son of Theophilus and Rebecca Wylie; a talented artist; enlisted in Company H, Indiana 18th Infantry Regiment on 16 Aug 1861 and died of disease on 25 October 1861, in Missouri.
"
ElizabethBreckenridge,Elizabeth Breckenridge,
ElizabethDennis,"Elizabeth (""Aunt Lizzie"") Salter Dennis (1830-1908)","Youngest sister of Rebecca Dennis Wylie, called Lizzie. She lived with the Wylies for a few years in the 1850s, then returned to Bloomington, IN after her mother's death and ran a boarding house with her sister Susan Emma Dennis until her death. Never married"
